City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather,Weather Description
0,Tiksi,RU,71.6872,128.8694,11.34,97,100,7.76,Snow,light snow
1,Rikitea,PF,-23.1203,-134.9692,73.63,83,100,12.21,Rain,moderate rain
2,Touros,BR,-5.1989,-35.4608,81.21,76,96,12.55,Clouds,overcast clouds
3,Bathsheba,BB,13.2167,-59.5167,86.61,51,20,17.27,Clouds,few clouds
4,Kapaa,US,22.0752,-159.319,76.98,82,75,14.97,Rain,light rain
5,Clyde River,CA,70.4692,-68.5914,5.23,78,0,6.91,Haze,haze
6,Kendrapara,IN,20.5042,86.416,80.46,84,0,12.88,Clear,clear sky
7,Kerchevskiy,RU,59.946,56.2884,24.87,94,84,2.93,Clouds,broken clouds
8,Rundu,NA,-17.9333,19.7667,63.59,49,0,4.07,Clear,clear sky
9,Manono,CD,-7.3,27.4167,74.44,79,71,2.82,Clouds,broken clouds
10,Hasaki,JP,35.7333,140.8333,63.28,88,100,6.29,Clouds,overcast clouds
11,New Norfolk,AU,-42.7826,147.0587,45.9,79,6,3.18,Clear,clear sky
12,Severodvinsk,RU,64.5635,39.8302,33.91,99,100,10.18,Snow,light snow
13,Bubaque,GW,11.2833,-15.8333,77.13,81,84,21.61,Clouds,broken clouds
14,Faanui,PF,-16.4833,-151.75,79.12,77,70,11.01,Rain,moderate rain
15,Busselton,AU,-33.65,115.3333,57.22,73,0,13.09,Clear,clear sky
16,Albany,US,42.6001,-73.9662,59.04,45,17,1.99,Clouds,few clouds
17,Pochutla,MX,15.7432,-96.4661,88.83,46,81,9.71,Clouds,broken clouds
18,Labuhan,ID,-6.8844,112.2051,78.73,88,96,5.26,Clouds,overcast clouds
19,Kruisfontein,ZA,-34.0033,24.7314,58.89,82,100,9.1,Clouds,overcast clouds
20,Cabo San Lucas,MX,22.8909,-109.9124,80.51,66,0,4.61,Clear,clear sky
21,Kavieng,PG,-2.5744,150.7967,81.93,77,99,10.07,Clouds,overcast clouds
22,Bousso,TD,10.4795,16.7117,91.54,33,23,6.29,Clouds,few clouds
23,Chifeng,CN,42.2683,118.9636,49.12,38,48,6.6,Clouds,scattered clouds
24,Ponta Do Sol,PT,32.6667,-17.1,65.03,65,89,15.17,Clouds,overcast clouds
25,Lavrentiya,RU,65.5833,-171.0,25.81,81,12,4.9,Clouds,few clouds
26,Ushuaia,AR,-54.8,-68.3,49.66,50,40,13.8,Clouds,scattered clouds
27,Hilo,US,19.7297,-155.09,80.28,90,100,4.61,Rain,light rain
28,Tuktoyaktuk,CA,69.4541,-133.0374,8.6,72,0,13.8,Clear,clear sky
29,College,US,64.8569,-147.8028,45.21,42,75,8.05,Clouds,broken clouds
30,Keokuk,US,40.3973,-91.3849,84.09,61,40,20.71,Clouds,scattered clouds
31,Qaanaaq,GL,77.484,-69.3632,7.18,72,100,2.35,Clouds,overcast clouds
32,Comodoro Rivadavia,AR,-45.8667,-67.5,57.06,38,0,13.8,Clear,clear sky
33,Pisco,PE,-13.7,-76.2167,69.85,73,0,20.71,Clear,clear sky
34,Atuona,PF,-9.8,-139.0333,79.25,74,75,15.19,Clouds,broken clouds
35,Srednekolymsk,RU,67.45,153.6833,14.49,95,100,5.99,Clouds,overcast clouds
36,Cabedelo,BR,-6.9811,-34.8339,84.87,80,99,11.61,Clouds,overcast clouds
37,Larreynaga,NI,12.6769,-86.5719,88.45,48,97,3.78,Clouds,overcast clouds
38,Punta Arenas,CL,-53.15,-70.9167,48.31,61,75,11.5,Clouds,broken clouds
39,Georgetown,MY,5.4112,100.3354,80.53,93,20,2.3,Clouds,few clouds
40,Hambantota,LK,6.1241,81.1185,80.46,80,91,7.9,Clouds,overcast clouds
41,Skjervoy,NO,70.0311,20.9714,37.4,71,100,13.27,Clouds,overcast clouds
42,San Cristobal,VE,7.7669,-72.225,80.78,61,72,4.88,Clouds,broken clouds
43,Yamada,JP,39.4667,141.95,52.5,78,100,6.85,Clouds,overcast clouds
44,Semme,FR,46.1963,1.5007,57.61,92,100,3.96,Clouds,overcast clouds
45,Mar Del Plata,AR,-38.0023,-57.5575,58.87,76,75,17.27,Clouds,broken clouds
46,Makakilo City,US,21.3469,-158.0858,77.32,67,75,11.5,Clouds,broken clouds
47,Upernavik,GL,72.7868,-56.1549,13.05,83,100,3.8,Clouds,overcast clouds
48,Alpatovo,RU,43.7028,45.2415,56.17,62,100,4.99,Clouds,overcast clouds
49,Chuy,UY,-33.6971,-53.4616,56.97,95,100,7.76,Rain,light rain
50,Basoko,CD,1.2391,23.616,73.89,90,92,3.65,Clouds,overcast clouds
51,Cape Town,ZA,-33.9258,18.4232,60.12,71,20,18.41,Clouds,few clouds
52,Dunedin,NZ,-45.8742,170.5036,50.81,64,96,1.01,Clouds,overcast clouds
53,Bengkulu,ID,-3.8004,102.2655,77.07,88,100,5.79,Clouds,overcast clouds
54,Sao Felix Do Xingu,BR,-6.6447,-51.995,82.83,75,72,1.39,Clouds,broken clouds
55,Quelimane,MZ,-17.8786,36.8883,80.55,89,40,3.44,Clouds,scattered clouds
56,Verkh-Usugli,RU,52.7,115.1667,26.91,29,100,4.47,Clouds,overcast clouds
57,Chokwe,MZ,-24.5333,32.9833,68.9,86,99,4.52,Clouds,overcast clouds
58,Middlebury,US,44.0153,-73.1673,57.0,49,75,14.97,Clouds,broken clouds
59,Florianopolis,BR,-27.6146,-48.5012,76.35,77,0,8.05,Clear,clear sky
60,Fonte Boa,BR,-2.4959,-66.2662,82.9,83,58,3.71,Rain,light rain
61,Ostrovnoy,RU,68.0531,39.5131,29.62,91,100,12.95,Clouds,overcast clouds
62,Lyuban,BY,52.7985,28.0048,42.31,97,100,4.88,Clouds,overcast clouds
63,Mataura,NZ,-46.1927,168.8643,48.47,97,21,2.62,Clouds,few clouds
64,Khatanga,RU,71.9667,102.5,-6.83,100,80,6.96,Clouds,broken clouds
65,Nijar,ES,36.9665,-2.206,59.65,72,0,10.36,Clear,clear sky
66,Dikson,RU,73.5069,80.5464,-7.22,100,100,6.42,Clouds,overcast clouds
67,Thompson,CA,55.7435,-97.8558,42.96,26,20,4.61,Clouds,few clouds
68,Rafaela,AR,-31.2503,-61.4867,57.99,70,100,3.0,Clouds,overcast clouds
69,Vaini,TO,-21.2,-175.2,71.76,94,20,3.44,Clouds,few clouds
70,Nikolskoye,RU,59.7035,30.7861,48.09,76,82,3.83,Clouds,broken clouds
71,Waipawa,NZ,-41.4122,175.5153,47.79,82,20,6.82,Clouds,few clouds
72,Carnarvon,AU,-24.8667,113.6333,66.27,88,0,5.75,Clear,clear sky
73,Liku,ID,-0.7275,119.8922,74.41,95,99,2.98,Clouds,overcast clouds
74,Barrow,US,71.2906,-156.7887,-0.38,78,0,10.36,Clear,clear sky
75,Astana,KZ,51.1801,71.446,26.55,74,0,8.95,Clear,clear sky
76,Saint-Philippe,RE,-21.3585,55.7679,76.59,83,71,18.75,Rain,light rain
77,Portland,US,45.5234,-122.6762,62.38,63,20,5.75,Clouds,few clouds
78,Manoel Urbano,BR,-8.8389,-69.2597,86.5,59,99,5.26,Rain,light rain
