City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
2,Touros,BR,81.21,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
3,Bathsheba,BB,86.61,few clouds,13.2167,-59.5167,Atlantis Hotel
4,Kapaa,US,76.98,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
6,Kendrapara,IN,80.46,clear sky,20.5042,86.416,Hotel Mayuri Palace
13,Bubaque,GW,77.13,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
14,Faanui,PF,79.12,moderate rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
17,Pochutla,MX,88.83,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
18,Labuhan,ID,78.73,overcast clouds,-6.8844,112.2051,DoubleFAG
20,Cabo San Lucas,MX,80.51,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
21,Kavieng,PG,81.93,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
22,Bousso,TD,91.54,few clouds,10.4795,16.7117,
27,Hilo,US,80.28,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
30,Keokuk,US,84.09,scattered clouds,40.3973,-91.3849,Hampton Inn Keokuk
34,Atuona,PF,79.25,broken clouds,-9.8,-139.0333,Villa Enata
36,Cabedelo,BR,84.87,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
37,Larreynaga,NI,88.45,overcast clouds,12.6769,-86.5719,Finca El Carrizal
39,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
40,Hambantota,LK,80.46,overcast clouds,6.1241,81.1185,Bungalow 63
42,San Cristobal,VE,80.78,broken clouds,7.7669,-72.225,Pirineos
46,Makakilo City,US,77.32,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
53,Bengkulu,ID,77.07,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
54,Sao Felix Do Xingu,BR,82.83,broken clouds,-6.6447,-51.995,Rio Xingu Camping
55,Quelimane,MZ,80.55,scattered clouds,-17.8786,36.8883,Hotel Flamingo
59,Florianopolis,BR,76.35,clear sky,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
60,Fonte Boa,BR,82.9,light rain,-2.4959,-66.2662,
76,Saint-Philippe,RE,76.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
78,Manoel Urbano,BR,86.5,light rain,-8.8389,-69.2597,Baixada Beira Rio
79,Victoria,HK,77.38,clear sky,22.2855,114.1577,Mini Hotel Central
81,La Romana,DO,80.96,scattered clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
85,Pak Phanang,TH,81.75,overcast clouds,8.3511,100.202,Green Park Inn Hotel
87,Sinaloa,MX,90.1,clear sky,25.0,-107.5,
88,Kailua,US,78.78,overcast clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
89,Arraial Do Cabo,BR,80.56,clear sky,-22.9661,-42.0278,Pousada Porto Praia
90,Souillac,MU,77.38,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
92,San Patricio,US,86.16,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
93,Bambous Virieux,MU,77.25,broken clouds,-20.3428,57.7575,Casa Tia Villa
95,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
96,Butaritari,KI,81.93,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
97,Ishigaki,JP,78.93,light rain,24.3448,124.1572,Hotel Peace Land Ishigakijima
98,Alugan,PH,79.5,broken clouds,12.2188,125.4808,JM Lodge
104,Port Blair,IN,80.64,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
107,Nizwa,OM,82.81,overcast clouds,22.9333,57.5333,Orient Apartments
108,Elizabeth City,US,78.82,few clouds,36.2946,-76.2511,Hampton Inn Elizabeth City
120,Monrovia,LR,85.77,overcast clouds,6.3005,-10.7969,Sunset Inn
127,Brownsville,US,89.6,broken clouds,25.9018,-97.4975,Best Western Hotel Plaza Matamoros
132,Tucurui,BR,78.57,overcast clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
133,Alofi,NU,76.89,clear sky,-19.0595,-169.9187,Taloa Heights
135,Sao Miguel Do Araguaia,BR,83.91,overcast clouds,-13.275,-50.1628,Hotel Executivo Palace
137,Nishihara,JP,75.25,scattered clouds,26.1842,127.7558,Minshuku Agaihama
139,Dubai,AE,85.93,clear sky,25.2582,55.3047,"Radisson Blu Hotel, Dubai Deira Creek"
142,Hithadhoo,MV,84.79,overcast clouds,-0.6,73.0833,Scoop Guest House
148,Namatanai,PG,79.25,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
149,Acapulco,MX,85.82,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
151,Ler,SS,81.32,light rain,8.3018,30.1418,Leer Humanitarian Hub
152,Rajpipla,IN,89.31,clear sky,21.8667,73.5,Lal Tower Govt. Guest House
155,Bud,US,76.89,broken clouds,39.447,-86.1758,Ted McQuinn Trust
156,Saint-Pierre,RE,76.68,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
158,Quatre Cocos,MU,77.11,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
164,Bandarbeyla,SO,82.49,scattered clouds,9.4942,50.8122,JABIR HOTEL
169,Mathbaria,BD,79.93,clear sky,22.2876,89.9593,Shikdar Hotel
172,Gorontalo,ID,75.42,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
175,Guamuchil,MX,88.75,overcast clouds,25.4667,-108.1,Hotel Heredia
176,Ewa Beach,US,78.75,scattered clouds,21.3156,-158.0072,Base Lodging
179,Tabas,IR,82.62,overcast clouds,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
181,Sao Gabriel Da Cachoeira,BR,85.8,scattered clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
182,Samdari,IN,86.04,clear sky,25.8167,72.5833,Karnoba Ki Dhani
183,Auki,SB,77.56,broken clouds,-8.7676,160.7034,Auki Motel
184,Kyaikto,MM,82.35,clear sky,17.3,97.0167,နီလာ တည်းခိုခန်း
200,Salinopolis,BR,80.26,moderate rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
201,Bilma,NE,92.05,clear sky,18.6853,12.9164,Expeditions Ténére voyages
202,Daru,PG,77.45,overcast clouds,-9.0763,143.2092,Daru Lodge
204,Balabac,PH,82.42,few clouds,7.9868,117.0645,Batalla’s Lodging House
217,Santa Rosa,PH,82.02,few clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
218,Lorengau,PG,81.88,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
221,Yenagoa,NG,78.31,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
231,Salalah,OM,82.49,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
234,Stillwater,US,79.56,overcast clouds,36.1156,-97.0584,Hampton Inn & Suites Stillwater
237,Cayenne,GF,78.84,light rain,4.9333,-52.3333,Hôtel Le Dronmi
242,Atar,MR,82.83,broken clouds,20.5169,-13.0499,Oumou Elghoura
244,Mahebourg,MU,77.29,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
245,Fare,PF,79.09,moderate rain,-16.7,-151.0167,Maitai Lapita Village Huahine
248,Kavaratti,IN,84.52,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
254,Esmeralda,CU,81.88,scattered clouds,21.8525,-78.1169,Centro de Pioneros Exploradores
261,Port Hedland,AU,78.85,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
265,Avera,US,82.54,clear sky,33.194,-82.5271,
266,La Reforma,MX,83.41,scattered clouds,25.0833,-108.05,Hotel Reforma
269,Biak,ID,76.96,overcast clouds,-0.9131,122.8766,Penginapan Kim
270,Vanimo,PG,76.98,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
